,index,subj_score,simi_score,vader_score,scores_flair,tw_subj_score,tw_simi_score,tw_vader_score,tw_scores_flair
17,2021-09-27,0.1209954741225796,-0.10496269651314079,0.2201749999999998,0.7092324733734131,-0.007259999999999999,-0.07505555555555556,-0.05203333333333332,0.6709857285022736
18,2021-09-28,0.07615359459032071,-0.11128754136603666,0.1712550000000001,0.6838715821504593,-0.009642777777777778,-0.09856025641025641,-0.07888333333333332,0.6974426607290903
19,2021-09-29,0.021505411553963284,-0.06806000000000002,0.01819000000000001,0.6554566204547883,0.005999999999999999,-0.06721555555555556,-0.015833333333333335,0.6957594652970632
24,2021-10-06,0.08799292468015885,-0.09473746664909576,0.1688550000000001,0.6913128614425659,0.05704666666666667,-0.07053484848484849,0.11478333333333335,0.6952612300713857
25,2021-10-07,0.08757723046226677,-0.10979673441922859,0.1728300000000001,0.7090862721204758,0.032953333333333334,-0.065616632996633,0.023366666666666674,0.753525565067927
27,2021-10-11,0.1320806815658116,-0.04416764050523919,0.3162949999999998,0.7564998984336853,0.0,-0.0501,-0.02783333333333333,0.615466445684433
28,2021-10-12,0.062378158635876924,-0.08104116120065746,0.1896249999999999,0.714698103070259,-0.0372287037037037,-0.09647539682539681,-0.13591666666666666,0.6975727379322052
29,2021-10-13,0.10271082199447579,-0.12750122562423166,0.19212999999999986,0.704680335521698,0.0,-0.11171666666666664,-0.11708333333333332,0.6973589162031809
30,2021-10-14,0.0996922730333287,-0.0962392289898665,0.22136499999999976,0.715016870200634,0.0017961538461538464,-0.10609939613526571,-0.004483333333333332,0.6786341369152069
31,2021-10-15,0.08015752519841271,-0.06635652154737047,0.1633900000000001,0.7094557240605355,0.1624907777777778,-0.0005572258454106157,0.2458666666666666,0.8085871438185374
33,2021-10-19,0.11971806370220198,-0.044762290763450695,0.31885499999999983,0.752133971452713,0.08805,-0.05456755555555556,0.08956666666666668,0.6610753436883291
34,2021-10-20,0.3014696222428054,0.3464509304425577,0.6636949999999999,0.836758230626583,0.22914461111111115,0.4550167127906113,0.43925,0.9632987678050995
35,2021-10-21,0.06300570329783069,-0.11170867105263158,0.12133500000000011,0.6806423872709274,0.06939166666666667,-0.05199433691756274,0.10863333333333335,0.6345978478590647
36,2021-10-22,0.07528588665015781,-0.08430646444661591,0.16018000000000007,0.6976571604609489,0.0,-0.06407264957264956,0.027966666666666678,0.6806516547997793
37,2021-10-25,0.0689085776475004,-0.10854311046376557,0.1200400000000001,0.6916944876313209,0.053596904761904755,-0.052987655677655655,0.10035000000000001,0.7129341463247935
41,2021-10-29,0.046440570614035094,-0.0790363516237402,0.061444999999999916,0.647824127972126,0.04601731481481482,-0.05694785185185186,0.23861666666666662,0.7563344538211823
42,2021-11-01,0.0254355896260997,-0.06981099999999998,0.018245000000000018,0.6479884564876557,0.006018333333333333,-0.054322377188029354,0.01578333333333334,0.8179878890514374
