Date,subj_score,simi_score,vader_score,scores_flair,tw_subj_score,tw_simi_score,tw_vader_score,tw_scores_flair
12/16/2021,0.313075386,0.428330034,0.683765,0.870129114,0.065998271,0.188258567,0.285825926,0.846204486
12/17/2021,0.279509831,0.348086807,0.614915,0.892834853,0.113264355,0.007867605,0.158285185,0.761393348
12/20/2021,0.290161303,0.495920626,0.727175,0.893320635,0.086530869,0.146554638,0.211618519,0.885515615
12/21/2021,0.370937708,0.762909203,0.84316,0.901254863,0.120714368,0.180483933,0.26327037,0.900258349
12/22/2021,0.386482579,0.887430569,0.934375,0.877058977,0.142068859,0.154133531,0.276211111,0.874020718
12/23/2021,0.383849086,0.765500765,0.876245,0.901602671,0.20103084,0.239843742,0.376303704,0.864293414
12/24/2021,0.308341757,0.330163201,0.6841,0.864111969,0.073661438,-0.012388067,0.149451852,0.745333939
12/27/2021,0.366785513,0.747680505,0.856395,0.902165699,0.150262231,0.214825549,0.342477778,0.826275739
12/28/2021,0.269182168,0.417241571,0.67004,0.867702152,0.146454044,0.172641421,0.3107,0.819002781
12/29/2021,0.353476228,0.659777733,0.828035,0.897073539,0.17468588,0.19880279,0.314559259,0.87686738
12/30/2021,0.303503786,0.635463952,0.68669,0.943156123,0.080890793,0.083604077,0.180196296,0.855509849
12/31/2021,0.328653639,0.769213493,0.862415,0.915559672,0.07222362,-0.01762698,0.135696296,0.730104446
1/3/2022,0.340907893,0.829972039,0.88757,0.899288142,0.150310685,0.195147158,0.349907407,0.867003706
1/4/2022,0.3773271,0.878430354,0.92089,0.894613425,0.151796114,0.270574063,0.3791,0.871155571
1/5/2022,0.308945298,0.420567947,0.713,0.864407688,0.081630853,0.154161499,0.246633333,0.856840794
1/6/2022,0.365418025,0.833966248,0.85303,0.916746131,0.143296021,0.320575194,0.432896296,0.792236514
1/7/2022,0.358468241,0.700349787,0.820265,0.927027608,0.10251313,-0.020234137,0.155062963,0.740793301
1/10/2022,0.30796622,0.518751914,0.68794,0.887810032,0.190399694,0.26148076,0.378577778,0.825716553
1/11/2022,0.331322239,0.660487125,0.76987,0.915609869,0.110098671,0.199910102,0.291566667,0.828167485
1/12/2022,0.348533186,0.724604044,0.84956,0.903498152,0.100747556,0.185813597,0.25547037,0.887906644
1/13/2022,0.353542735,0.655488617,0.7983,0.903647801,0.131662324,0.110298897,0.258759259,0.872829839
1/14/2022,0.278295211,0.554691597,0.69985,0.909568721,0.058090265,0.010291045,0.152759259,0.796777083
1/17/2022,0.340189211,0.77854331,0.82148,0.952580595,0.133556488,0.305206905,0.316286364,0.886989783
1/18/2022,0.363479678,0.846458889,0.8354,0.932835701,0.14564951,0.245852604,0.295090909,0.936389135
1/19/2022,0.277191572,0.686851873,0.74206,0.945780155,0.135556701,0.327680318,0.355340909,0.916076495
